# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
Msg Size, Bandwidth (MB/s)
1,1.512
2,3.081
4,6.155
8,12.237
16,24.691
32,46.192
64,91.395
128,177.342
256,337.526
512,579.230
1024,857.315
2048,1159.104
4096,1413.665
8192,1551.799
16384,1623.290
32768,1765.402
65536,4152.394
131072,4525.122
262144,1202.192
524288,949.797
1048576,829.549
2097152,1397.522
4194304,1259.556
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.518
2,3.087
4,6.187
8,12.239
16,24.873
32,46.369
64,89.602
128,175.232
256,342.956
512,586.160
1024,874.473
2048,1166.950
4096,1394.819
8192,1580.257
16384,1688.802
32768,1838.364
65536,4411.668
131072,4502.817
262144,1147.282
524288,917.073
1048576,819.580
2097152,896.555
4194304,930.591
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.484
2,3.007
4,6.043
8,12.070
16,24.128
32,45.964
64,87.986
128,173.057
256,337.207
512,566.535
1024,851.636
2048,1156.161
4096,1410.488
8192,1584.514
16384,1662.029
32768,1807.125
65536,4399.115
131072,4440.207
262144,1149.140
524288,900.948
1048576,822.616
2097152,967.898
4194304,1114.227
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.517
2,3.096
4,6.243
8,12.405
16,24.928
32,46.551
64,90.144
128,176.476
256,343.613
512,592.253
1024,882.469
2048,1177.614
4096,1421.574
8192,1577.239
16384,1687.281
32768,1830.900
65536,2427.575
131072,4453.737
262144,1171.765
524288,931.214
1048576,828.231
2097152,1058.670
4194304,930.989
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.495
2,3.027
4,6.083
8,12.190
16,24.440
32,46.169
64,89.802
128,175.800
256,334.604
512,564.251
1024,857.124
2048,1169.816
4096,1407.938
8192,1558.492
16384,1616.464
32768,1768.948
65536,2053.998
131072,4482.437
262144,1181.833
524288,933.259
1048576,831.597
2097152,1398.097
4194304,941.918
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.531
2,3.106
4,6.244
8,12.449
16,24.899
32,46.294
64,89.863
128,175.464
256,343.166
512,585.509
1024,875.009
2048,1159.493
4096,1381.991
8192,1576.065
16384,1673.832
32768,1824.019
65536,4396.531
131072,4480.641
262144,1168.296
524288,934.013
1048576,831.650
2097152,1406.992
4194304,1403.696
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.509
2,3.033
4,6.232
8,12.231
16,24.643
32,46.199
64,88.978
128,173.780
256,340.912
512,592.840
1024,885.796
2048,1178.892
4096,1424.829
8192,1579.030
16384,1687.679
32768,1834.137
65536,4338.755
131072,4496.907
262144,1124.622
524288,900.166
1048576,850.111
2097152,1173.587
4194304,930.951
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.479
2,3.015
4,6.048
8,12.054
16,24.166
32,46.583
64,91.676
128,179.919
256,346.482
512,578.869
1024,876.667
2048,1177.516
4096,1401.789
8192,1531.079
16384,1706.060
32768,1835.335
65536,4368.597
131072,4702.540
262144,1241.915
524288,933.808
1048576,835.891
2097152,1411.508
4194304,931.061
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.531
2,3.126
4,6.260
8,12.498
16,25.325
32,47.366
64,90.345
128,179.431
256,324.248
512,582.346
1024,873.647
2048,1166.557
4096,1417.595
8192,1560.027
16384,1637.749
32768,1781.966
65536,4328.386
131072,4538.159
262144,1200.543
524288,955.928
1048576,700.942
2097152,719.296
4194304,931.109
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,2 +no_isomalloc_sync
1,1.511
2,3.061
4,6.081
8,12.153
16,24.657
32,45.688
64,90.500
128,178.578
256,342.682
512,572.682
1024,863.906
2048,1165.495
4096,1420.667
8192,1561.709
16384,1618.439
32768,1784.961
65536,4250.936
131072,4489.924
262144,1195.674
524288,921.645
1048576,836.733
2097152,931.004
4194304,1117.342
